IP,Status_code,Occurrences
"('208.91.156.11', '""GET /files/logstash/logstash-1.3.2-monolithic.jar HTTP/1.1"" 404')",60
"('199.16.156.125', '""GET /files/lumberjack/lumberjack-0.3.0.exe HTTP/1.1"" 200 437')",5
"('199.16.156.124', '""GET /files/lumberjack/lumberjack-0.3.0.exe HTTP/1.1"" 200 437')",5
"('91.232.96.8', '""GET /presentations/logstash-1/ HTTP/1.1"" 200 532')",5
"('130.237.218.86', '""GET /image/logstash.png HTTP/1.1"" 404')",4
"('217.12.185.5', '""GET /style2.css HTTP/1.1"" 200 487')",4
"('81.190.174.219', '""GET /style2.css HTTP/1.1"" 200 487')",4
"('50.131.51.216', '""GET /style2.css HTTP/1.1"" 200 487')",3
"('50.131.51.216', '""GET /images/web/2009/banner.png HTTP/1.1"" 200 523')",3
"('94.23.164.135', '""GET /misc/sample.log HTTP/1.1"" 200 543')",3
