IP_Address,Count
83.149.9.216,23
24.236.252.67,1
93.114.45.13,6
66.249.73.135,7
50.16.19.13,2
66.249.73.185,3
110.136.166.128,6
46.105.14.53,4
123.125.71.35,1
50.150.204.184,1
207.241.237.225,1
200.49.190.101,3
200.49.190.100,1
67.214.178.190,2
207.241.237.220,1
207.241.237.227,1
91.177.205.119,6
207.241.237.228,1
207.241.237.101,1
87.169.99.232,1
209.85.238.199,2
81.220.24.207,6
218.30.103.62,10
74.125.40.20,1
71.212.224.97,5
108.174.55.234,1
121.107.188.202,1
198.46.149.143,2
86.1.76.62,6
107.170.41.69,1
208.115.111.72,22
50.180.79.170,1
105.235.130.196,2
174.37.205.76,1
1.9.0.19,1
54.255.13.204,4
