redis,0.43,0.59
redis,0.46,0.59
redis,0.52,0.59
redis,0.5,0.59
redis,0.46,0.59
redis,0.48,0.59
redis,0.47,0.59
postgres,0.01,2.96
nginx,0.0,0.4
redis,0.45,0.59
postgres,0.03,2.96
nginx,0.0,0.4
redis,0.54,0.59
postgres,2.12,2.98
nginx,0.0,0.4
redis,0.46,0.59
postgres,0.02,2.98
nginx,0.0,0.4
redis,0.5,0.59
postgres,0.03,2.98
nginx,0.0,0.4
redis,0.54,0.59
postgres,0.03,2.98
nginx,0.0,0.4
redis,0.5,0.59
postgres,0.04,3.05
nginx,0.0,0.4
redis,0.51,0.59
postgres,0.02,3.05
nginx,0.0,0.4
redis,0.53,0.59
postgres,4.34,3.19
nginx,0.0,0.4
redis,0.43,0.59
postgres,0.02,3.31
nginx,0.0,0.4
redis,0.48,0.59
postgres,0.58,3.32
nginx,0.0,0.4
redis,0.47,0.59
postgres,0.02,3.32
nginx,0.0,0.4
redis,0.6,0.59
